書名,曲名,演唱歌手,冊別,頁別,備註
最新排行(簡譜)：最新單曲,間距,en,161,2,
最新排行(簡譜)：最新單曲,怪情歌,林宥嘉,161,4,
最新排行(簡譜)：最新單曲,數到十,曾沛慈,161,6,
最新排行(簡譜)：最新單曲,一薪二用,宋鹽球,161,8,
最新排行(簡譜)：最新單曲,五福臨門,李晴,161,10,電視劇《百味人生》三立八點檔片頭金曲
最新排行(簡譜)：最新單曲,卡農 in Love,蔡佩軒,161,12,
最新排行(簡譜)：最新單曲,過了幾天,郭家瑋,161,14,
最新排行(簡譜)：最新單曲,後來遇見他,胡66,161,16,
最新排行(簡譜)：最新單曲,你挺我我挺你,良一/彬朝/梓華,161,18,
最新排行(簡譜)：最新單曲,你是我這輩子最想愛的呀,五堅情,161,20,
最新排行(簡譜)：最新單曲,誰,曲肖冰,161,22,
最新排行(簡譜)：最新單曲,認輸,張震嶽,161,24,
最新排行(簡譜)：最新單曲,拌拌咧,李竺芯,161,26,
最新排行(簡譜)：最新單曲,用力活著,張茜,161,28,
最新排行(簡譜)：最新單曲,灰色軌跡,Beyond,161,30,電影《天若有情》插曲
最新排行(簡譜)：最新單曲,我喜歡你,洪安妮,161,32,
最新排行(簡譜)：最新單曲,這麼多年,陳華,161,34,電視劇《我想和你在一起》插曲
最新排行(簡譜)：最新單曲,帶我去找夜生活,告五人,161,36,
最新排行(簡譜)：最新單曲,我對自己開了一槍,佛跳牆 戴佩妮,161,40,
最新排行(簡譜)：最新單曲,沒有理想的人不傷心,新褲子,161,42,
最新排行(簡譜)：最新單曲,沒出息(?嗓版),仲南,161,46,
最新排行(簡譜)：最新單曲,馬,福祿壽,161,48,
最新排行(簡譜)：最新單曲,野人,孟維來,161,50,
最新排行(簡譜)：最新單曲,聽說,叢銘君,161,52,
最新排行(簡譜)：最新單曲,沒出息(正式完整版),王搏/王蓉,161,54,
最新排行(簡譜)：最新單曲,一萬次悲傷,逃跑計劃,161,56,
最新排行(簡譜)：最新單曲,出現又離開,梁博,161,58,
最新排行(簡譜)：最新單曲,你要跳舞嗎,新褲子,161,62,
最新排行(簡譜)：最新單曲,壞壞惹人愛,信樂團/戴愛玲,161,64,
最新排行(簡譜)：最新單曲,我想要擁有你,小男孩樂團,161,66,Netflix影集《影后》插曲
最新排行(簡譜)：最新單曲,土坡上的狗尾草,盧潤澤,161,68,
最新排行(簡譜)：最新單曲,我們到底算什麼,徐暐翔,161,70,
最新排行(簡譜)：最新單曲,伊的身邊已經有別人,許富凱,161,72,
最新排行(簡譜)：最新單曲,阿刁,張韶涵,161,74,
最新排行(簡譜)：最新單曲,座位,于冬然,161,78,
最新排行(簡譜)：最新單曲,善後,馬師傅,161,80,
最新排行(簡譜)：最新單曲,茶花開了,王睿卓,161,82,
最新排行(簡譜)：最新單曲,親愛的你啊,任素汐,161,84,
最新排行(簡譜)：最新單曲,天使借的溫柔,艾薇,161,86,
最新排行(簡譜)：最新單曲,若無你我欲去佗位,黃奇斌,161,88,電影《96分鐘》主題曲
最新排行(簡譜)：最新單曲,太多,陳冠蒲,160,2,
最新排行(簡譜)：最新單曲,啟程,2016全國高中生大合唱,160,4,
最新排行(簡譜)：最新單曲,追夢人,鳳飛飛,160,7,
最新排行(簡譜)：最新單曲,心甜甜,洪榮宏/胡曉芳,160,9,
最新排行(簡譜)：最新單曲,三生石頂,洪榮宏,160,11,
最新排行(簡譜)：最新單曲,渡我不渡她,夏婉安,160,13,
最新排行(簡譜)：最新單曲,想念你想我,周興哲,160,15,電視劇《冬至》片頭曲
最新排行(簡譜)：最新單曲,夢中想起你,洪榮宏,160,17,
最新排行(簡譜)：最新單曲,你答應我的事,陳墨一,160,19,
最新排行(簡譜)：最新單曲,瀘沽湖2021,麻園詩人,160,21,
最新排行(簡譜)：最新單曲,騙,張碧晨,159,43,電影《如果聲音不記得》插曲
最新排行(簡譜)：最新單曲,青花,周傳雄,159,45,
最新排行(簡譜)：最新單曲,火車站,朱德寶/方千玉,159,47,
最新排行(簡譜)：最新單曲,淒美地,郭頂,159,49,
最新排行(簡譜)：最新單曲,我不該哭,動力火車,159,51,
最新排行(簡譜)：最新單曲,我喜歡你,芒果醬,159,54,
最新排行(簡譜)：最新單曲,生命的情火,洪榮宏/張?云,159,56,
最新排行(簡譜)：最新單曲,紅色高跟鞋,蔡健雅,159,58,電影《愛情左右》主題曲
最新排行(簡譜)：最新單曲,可是她叫我寶A,陳零九/文慧如,159,60,
最新排行(簡譜)：最新單曲,不要慌太陽下山有月光,GooGoo,159,62,
最新排行(簡譜)：最新單曲,我願意,許志豪,159,64,
最新排行(簡譜)：最新單曲,抱著你,縱貫線,159,66,
最新排行(簡譜)：最新單曲,已讀不回,許志豪,159,68,
最新排行(簡譜)：最新單曲,愛情倒退,許紹洋,159,70,
最新排行(簡譜)：最新單曲,APT.,ROSE/BrunoMars,159,72,
最新排行(簡譜)：最新單曲,預言,打擾一下,159,74,
最新排行(簡譜)：最新單曲,早點回家,菲道爾,159,76,
最新排行(簡譜)：最新單曲,捨不得的時刻,陳華,159,78,
最新排行(簡譜)：最新單曲,手機錢包鑰匙菸,美秀集團/盧廣仲,159,80,
最新排行(簡譜)：最新單曲,能遇見，就很不錯了,菲道爾,159,82,
最新排行(簡譜)：最新單曲,必巡,曾瑋中,158,2,三立戲劇《含笑食堂》片尾曲
最新排行(簡譜)：最新單曲,按怎,方馨,158,4,台視戲劇《追分成功》主題曲
最新排行(簡譜)：最新單曲,風箏,十五所高中同學合唱,158,6,
最新排行(簡譜)：最新單曲,我會等,承桓,158,10,
最新排行(簡譜)：最新單曲,從今以後,陳韋任,158,12,
最新排行(簡譜)：最新單曲,從心出發,方馨/柯叔元/米可白/亮曦/林玉書/蕭景鴻/吳嘉隆,158,14,台視戲劇《追分成功》片頭曲
最新排行(簡譜)：最新單曲,記得很清楚,林小珂,158,16,
最新排行(簡譜)：最新單曲,離別開出花,就是南方凱,158,18,
最新排行(簡譜)：最新單曲,癡心無名氏,艾薇,158,20,
最新排行(簡譜)：最新單曲,想和你看五月的晚霞,陳華,158,22,
最新排行(簡譜)：最新單曲,有些,顏人中,158,24,
最新排行(簡譜)：最新單曲,認錯,優客李林,158,26,
最新排行(簡譜)：最新單曲,安和橋,宋冬野,158,29,
最新排行(簡譜)：最新單曲,聖誕星,周杰倫/楊瑞代,158,31,
最新排行(簡譜)：最新單曲,萱草花,張小斐,158,33,電影《你好，李煥英》主題曲
最新排行(簡譜)：最新單曲,一生所愛,盧冠廷,158,35,電影《齊天大聖西遊記》插曲
最新排行(簡譜)：最新單曲,洘流賰沙,黃春美/許志豪,158,37,三立八點檔《天道》片尾曲
最新排行(簡譜)：最新單曲,祝你順風,黃春美,158,39,三立七點檔《親家》片尾曲
最新排行(簡譜)：最新單曲,媽媽的話,Zyboy忠宇,158,41,
最新排行(簡譜)：最新單曲,我曾遇到一束光,葉斯淳,158,43,
最新排行(簡譜)：最新單曲,我記得,趙雷,158,45,
最新排行(簡譜)：最新單曲,新造的人,鄭宜農,158,48,電影《周處除三害》插曲
最新排行(簡譜)：最新單曲,姑娘別哭泣,柯柯柯啊,158,50,
最新排行(簡譜)：最新單曲,青蘋果樂園,小虎隊,158,52,
最新排行(簡譜)：最新單曲,我不配你要的,PAX,158,55,
最新排行(簡譜)：最新單曲,分手的那一夜,黃春美/鄭進一,158,57,
最新排行(簡譜)：最新單曲,妳是我的唯一,巫啟賢,158,59,
最新排行(簡譜)：最新單曲,思念親像一條河,伍佰,158,61,
最新排行(簡譜)：最新單曲,愛情結局我決定,黃春美,158,63,三立超級紅人榜金曲MV
最新排行(簡譜)：最新單曲,這是你期盼的長大嗎,張齊山,158,66,
最新排行(簡譜)：最新單曲,十全十美,蔡秋鳳,139,30,電視劇《雨夜花》片頭曲
最新排行(簡譜)：最新單曲,半醉人生,蔡秋鳳,139,32,電視劇《甘味人生》片頭曲
最新排行(簡譜)：最新單曲,舊曆十五,詹雅雯,139,34,
最新排行(簡譜)：最新單曲,雙雙對對,陳雷/甲子慧,139,36,
最新排行(簡譜)：最新單曲,媽媽不免驚,蔡秋鳳,139,38,
最新排行(簡譜)：最新單曲,唱乎甲己來聽,秀蘭瑪雅,139,40,
最新排行(簡譜)：最新單曲,愛情敢會當參詳,許富凱,139,42,電視劇《春花望露》片頭曲
最新排行(簡譜)：最新單曲,ALL WITH YOU,太妍,139,44,電視劇《月之戀人-步步驚心：麗》OST
最新排行(簡譜)：最新單曲,雲畫的月光,Gummy,139,46,電視劇《雲畫的月光》OST
最新排行(簡譜)：最新單曲,深情的說再見,成始?,139,48,電視劇《雲畫的月光》OST
最新排行(簡譜)：最新單曲,"想念,因為想念",Beige,139,50,電視劇《雲畫的月光》OST
最新排行(簡譜)：最新單曲,以你為名的世界,尹美萊,139,52,電視劇《藍色海洋的傳說》OST
最新排行(簡譜)：最新單曲,單,楊丞琳,139,54,
最新排行(簡譜)：最新單曲,山丘,李宗盛,139,56,
最新排行(簡譜)：最新單曲,不說,李榮浩,139,60,電影《從你的全世界路過》路過版主題曲
最新排行(簡譜)：最新單曲,敗將,陳勢安,139,62,
最新排行(簡譜)：最新單曲,觀眾,楊丞琳,139,64,
最新排行(簡譜)：最新單曲,任意門,五月天,139,66,
最新排行(簡譜)：最新單曲,南山南,張磊,139,70,
最新排行(簡譜)：最新單曲,喜歡你,Beyond,139,72,
最新排行(簡譜)：最新單曲,不再猶豫,Beyond,139,74,
最新排行(簡譜)：最新單曲,北京北京,汪峰,139,78,
最新排行(簡譜)：最新單曲,真的愛你,Beyond,139,81,
最新排行(簡譜)：最新單曲,永遠都在,S.H.E,139,84,
最新排行(簡譜)：最新單曲,好愛好散,陳勢安,139,88,
最新排行(簡譜)：最新單曲,你啊你啊,魏如萱,139,90,
最新排行(簡譜)：最新單曲,別再撐了,安心亞,139,92,
最新排行(簡譜)：最新單曲,"明天,你好",牛奶咖啡,139,94,
最新排行(簡譜)：最新單曲,帥到分手,周湯豪,139,96,電視劇《飛魚高校生》片頭曲
最新排行(簡譜)：最新單曲,練習愛情,陳勢安,139,98,
最新排行(簡譜)：最新單曲,回憶那麼傷,孫子涵,139,100,電視劇《羋月傳》片頭/片尾曲
最新排行(簡譜)：最新單曲,最好的一天,五月天,139,102,
最新排行(簡譜)：最新單曲,我要你過得好,車志立,139,106,
最新排行(簡譜)：最新單曲,大王叫我來巡山,趙英俊,139,108,電影《萬萬沒想到 西遊篇》片尾曲
最新排行(簡譜)：最新單曲,夜空中最亮的星,鄧紫棋,139,110,
最新排行(簡譜)：最新單曲,終於結束的起點,五月天,139,112,
最新排行(簡譜)：最新單曲,每一個玩音樂的人,謝和弦(A.CHORD)/玖壹壹/陳零九,139,115,
最新排行(簡譜)：最新單曲,讓我留在你身邊,陳奕迅,139,118,電影《擺渡人》主題曲
最新排行(簡譜)：最新單曲,你的愛是什麼形狀,蔣卓嘉,139,120,電視劇《飛魚高校生》插曲
最新排行(簡譜)：最新單曲,你說那C和弦就是,五月天,139,122,
最新排行(簡譜)：最新單曲,原來我也可以幸福,黃美珍,139,124,
最新排行(簡譜)：最新單曲,好朋友,陳百潭/葉諾帆/林俊吉,138,10,
最新排行(簡譜)：最新單曲,你的名,黃文星,138,12,
最新排行(簡譜)：最新單曲,孤鸞命,陳百潭/鳳娘,138,14,
最新排行(簡譜)：最新單曲,問流星,陳百潭,138,16,
最新排行(簡譜)：最新單曲,滴答滴,秀蘭瑪雅,138,18,電視劇《白鷺鷥的願望》片頭曲
最新排行(簡譜)：最新單曲,幸福乾杯,陳百潭/鳳娘,138,20,
最新排行(簡譜)：最新單曲,嫁給我吧,玖壹壹,138,22,
最新排行(簡譜)：最新單曲,越走越勇,黃文星,138,24,
最新排行(簡譜)：最新單曲,癡情拿鐵,葉諾帆,138,26,
最新排行(簡譜)：最新單曲,來去趴踢,玖壹壹/黃明志,138,28,
最新排行(簡譜)：最新單曲,好酒好兄弟,黃文星,138,31,
最新排行(簡譜)：最新單曲,明天再擱來,玖壹壹,138,34,
最新排行(簡譜)：最新單曲,頑固,五月天,138,37,
最新排行(簡譜)：最新單曲,你甘攏袂不甘,謝和弦(A.CHORD),138,40,
最新排行(簡譜)：最新單曲,This Is Love,周興哲,138,42,
最新排行(簡譜)：最新單曲,野子,蘇運瑩,138,44,選秀節目《現場Live版本》
最新排行(簡譜)：最新單曲,轉眼,五月天,138,46,
最新排行(簡譜)：最新單曲,好可惜,莊心妍,138,50,
最新排行(簡譜)：最新單曲,年輪說,楊丞琳,138,52,植劇場《荼靡》片頭曲
最新排行(簡譜)：最新單曲,滿天星,李玉璽,138,54,電視劇《狼王子》片尾曲
最新排行(簡譜)：最新單曲,暴風雪,李佳薇,138,56,
最新排行(簡譜)：最新單曲,以後以後,林芯儀,138,58,電視劇【我和我的十七歲】片尾曲
最新排行(簡譜)：最新單曲,半句再見,孫燕姿,138,60,電影《六弄咖啡館》主題曲
最新排行(簡譜)：最新單曲,如果再見,韋禮安,138,62,電影《極樂宿舍》主題曲
最新排行(簡譜)：最新單曲,告白氣球,周杰倫,138,64,
最新排行(簡譜)：最新單曲,寂寞無害,艾怡良,138,66,電視劇《拜託了媽媽》片頭曲
最新排行(簡譜)：最新單曲,愛情廢柴,周杰倫,138,68,
最新排行(簡譜)：最新單曲,當你老了,莫文蔚,138,70,
最新排行(簡譜)：最新單曲,我愛過你,周興哲,138,72,電視劇《左耳》宣傳曲*3頁
最新排行(簡譜)：最新單曲,說走就走,周杰倫,138,75,
最新排行(簡譜)：最新單曲,餘波盪漾,田馥甄,138,78,電視劇《飛魚高校生》片尾曲*3頁
最新排行(簡譜)：最新單曲,後來的我們,五月天,138,81,
最新排行(簡譜)：最新單曲,吻得太逼真,張敬軒,138,84,
最新排行(簡譜)：最新單曲,我過得很好,莊心妍,138,86,
最新排行(簡譜)：最新單曲,都是你害的,畢書盡(Bii),138,88,電視劇《我的極品男友》片尾曲
最新排行(簡譜)：最新單曲,謝謝妳愛我,謝和弦(A.CHORD),138,90,
最新排行(簡譜)：最新單曲,在沒有你以後,謝和弦(A.CHORD),138,92,
最新排行(簡譜)：最新單曲,第一個想到你,韋禮安,138,94,電視劇《後菜鳥的燦爛時代》片尾曲*3頁
最新排行(簡譜)：最新單曲,愛情教會我們的事,周興哲,138,97,
最新排行(簡譜)：最新單曲,走著走著就散了,莊心妍,138,100,
最新排行(簡譜)：最新單曲,我不是你該愛的那個人,曾沛慈,138,102,電視劇《終極一班4》片尾曲
最新排行(簡譜)：最新單曲,好好(想把你寫成一首歌),五月天,138,104,
最新排行(簡譜)：最新單曲,青春,丁姵均,137,10,電視劇《春花望露》片頭曲
最新排行(簡譜)：最新單曲,最愛的人,李千娜/王大文,137,12,
最新排行(簡譜)：最新單曲,愛的情火,陳雷/甲子慧,137,14,電視劇《甘味人生》片頭曲
最新排行(簡譜)：最新單曲,回來我身邊,玖壹壹,137,16,
最新排行(簡譜)：最新單曲,甜蜜的責任,蔡佳麟/丁姵均,137,20,
最新排行(簡譜)：最新單曲,嘻哈庄腳情,玖壹壹,137,22,
最新排行(簡譜)：最新單曲,今夜又擱想起你,楊宗憲,137,24,
最新排行(簡譜)：最新單曲,Talk Love (?? ??),K.Will,137,30,電視劇《太陽的後裔》OST
最新排行(簡譜)：最新單曲,不該,周杰倫/aMEI,137,40,
最新排行(簡譜)：最新單曲,空城,楊坤,137,42,
最新排行(簡譜)：最新單曲,看淡,田馥甄,137,44,電視劇《一把青》片頭曲
最新排行(簡譜)：最新單曲,鍊愛,李佳薇,137,46,韓劇《她很漂亮》《我的女兒琴四月》《羋月傳》片尾曲
最新排行(簡譜)：最新單曲,一點點,周杰倫,137,48,
最新排行(簡譜)：最新單曲,下輩子,玖壹壹,137,50,
最新排行(簡譜)：最新單曲,我的路,玖壹壹,137,52,
最新排行(簡譜)：最新單曲,紅顏舊,劉濤,137,54,電視劇《瑯琊榜》插曲
最新排行(簡譜)：最新單曲,風起時,胡歌,137,56,電視劇《琅琊榜》主題曲
最新排行(簡譜)：最新單曲,說實話,李千娜,137,58,
最新排行(簡譜)：最新單曲,下個街角,蕭煌奇,137,60,
最新排行(簡譜)：最新單曲,大雨將至,徐佳瑩,137,62,電視劇【女醫明妃傳】主題曲
最新排行(簡譜)：最新單曲,天真有邪,林宥嘉,137,64,
最新排行(簡譜)：最新單曲,光輝歲月,Beyond,137,66,
最新排行(簡譜)：最新單曲,好喜歡你,LuLu黃路梓茵,137,68,
最新排行(簡譜)：最新單曲,你好不好,周興哲,137,70,電視劇《遺憾拼圖》片尾曲*3頁
最新排行(簡譜)：最新單曲,道聽塗說,林芯儀,137,73,
最新排行(簡譜)：最新單曲,西海情歌,刀郎,137,76,
最新排行(簡譜)：最新單曲,幸福太短,A-Lin,137,78,電視劇《奇妙的時光之旅》片尾曲
最新排行(簡譜)：最新單曲,爸爸媽媽,李榮浩,137,80,
最新排行(簡譜)：最新單曲,派對動物,五月天,137,82,
最新排行(簡譜)：最新單曲,死心了沒有,蕭煌奇,137,86,
最新排行(簡譜)：最新單曲,是我不夠好,李毓芬,137,90,電視劇《第二次20歲》片尾曲
最新排行(簡譜)：最新單曲,想戀一個愛,丁噹,137,92,電視劇《大人情歌》片頭曲
最新排行(簡譜)：最新單曲,忘了如何遺忘,郭靜,137,94,電視劇《聶小倩》片尾曲
最新排行(簡譜)：最新單曲,假如愛有天意,李健,137,96,
最新排行(簡譜)：最新單曲,這是最後一次,謝和弦(A.CHORD),137,99,
最新排行(簡譜)：最新單曲,只是不夠愛自己,丁噹,137,102,電視劇《雲中歌》片尾曲
最新排行(簡譜)：最新單曲,如果我們不曾相遇,五月天,137,104,
最新排行(簡譜)：最新單曲,勇敢,五月天,136,10,
最新排行(簡譜)：最新單曲,團圓,孫淑媚,136,12,電視劇《甘味人生》主題曲
最新排行(簡譜)：最新單曲,小飛俠,黃妃,136,14,
最新排行(簡譜)：最新單曲,飛仔麟,蔡佳麟,136,16,
最新排行(簡譜)：最新單曲,唱乎爽,黃妃,136,18,電視劇《魚干女》插曲*3頁
最新排行(簡譜)：最新單曲,9453,玖壹壹,136,22,
最新排行(簡譜)：最新單曲,思念的人,鳳娘,136,24,
最新排行(簡譜)：最新單曲,無字天書,黃妃,136,26,
最新排行(簡譜)：最新單曲,走過好味道,王識賢,136,28,電視劇《走過好味道》片頭曲
最新排行(簡譜)：最新單曲,飛入你心底,黃妃,136,30,
最新排行(簡譜)：最新單曲,懷念你媽媽,陳雷,136,32,
最新排行(簡譜)：最新單曲,癡情玫瑰花,Under Lover/玖壹壹,136,34,
最新排行(簡譜)：最新單曲,You Raise Me Up,Josh Groban,136,38,
最新排行(簡譜)：最新單曲,默,那英,136,40,電影《何以笙簫默》插曲
最新排行(簡譜)：最新單曲,讓,蕭煌奇,136,42,
最新排行(簡譜)：最新單曲,幸福特調,羅志祥/裴秀智,136,45,
最新排行(簡譜)：最新單曲,父親,筷子兄弟,136,48,
最新排行(簡譜)：最新單曲,再見,鄧紫棋,136,50,
最新排行(簡譜)：最新單曲,安靜,朱俐靜/陳勢安,136,52,電視劇《愛上哥們》插曲
最新排行(簡譜)：最新單曲,底線,溫嵐,136,54,電視劇《愛上哥們》插曲
最新排行(簡譜)：最新單曲,兜圈,林宥嘉,136,56,電視劇《必娶女人》片尾曲
最新排行(簡譜)：最新單曲,也可以,閻奕格,136,58,電影《追婚日記》插曲
最新排行(簡譜)：最新單曲,心時代,畢書盡(Bii)/陳勢安/陳彥允/李玉璽,136,60,
最新排行(簡譜)：最新單曲,我不要,Popu Lady,136,64,電視劇《戀愛鄰距離》片尾曲
最新排行(簡譜)：最新單曲,致命傷,羅志祥,136,66,
最新排行(簡譜)：最新單曲,壞脾氣,吳汶芳,136,68,電視劇《星座愛情 牡羊女》片尾曲
最新排行(簡譜)：最新單曲,關鍵詞,林俊傑,136,70,《Horae??Beaute》韓媞形象主題曲
最新排行(簡譜)：最新單曲,飆高音,黃明志,136,72,
最新排行(簡譜)：最新單曲,可以的話,梁靜茹,136,74,電視劇《料理高校生》插曲
最新排行(簡譜)：最新單曲,泰國情哥,黃明志,136,76,
